# t	u	ec	e
2.860000000001611	-2.3077819284658894	0.8845899842313278	-1.4231919442345613
2.8650000000016216	-2.3006536462845593	0.8774617158631838	-1.4231919304213756
2.870000000001632	-2.29064377892802	0.8674518619050049	-1.4231919170230152
2.8750000000016427	-2.278631865080019	0.8554399781638357	-1.4231918869161837
2.8800000000016532	-2.26536907555474	0.8421771846460279	-1.423191890908712
2.885000000001664	-2.251375404922375	0.82818350327871	-1.4231919016436652
2.8900000000016743	-2.237118738207033	0.8139268406261864	-1.4231918975808469
2.895000000001685	-2.22335628812796	0.8001644174971984	-1.4231918706307618
2.9000000000016954	-2.2113778918547795	0.7881860752725511	-1.4231918165822288
2.905000000001706	-2.2028329050191013	0.779641124760012	-1.4231917802590892
2.9100000000017165	-2.199064532416641	0.7758727730806545	-1.4231917593359862
2.915000000001727	-2.200260901585648	0.7770691246407972	-1.423191776944851
2.9200000000017377	-2.205105334772907	0.7819135107778244	-1.4231918239950823
2.925000000001748	-2.21133886995642	0.7881469824694275	-1.4231918874869924
2.9300000000017588	-2.2168700013037106	0.7936781027783284	-1.4231918985253822
2.9350000000017693	-2.220676856382007	0.7974849640554919	-1.4231918923265152
2.94000000000178	-2.2230239471760602	0.7998320740804921	-1.4231918730955682
2.9450000000017904	-2.2249807326644673	0.8017888738752597	-1.4231918587892078
2.950000000001801	-2.227570182328625	0.8043783392724186	-1.4231918430562063
2.9550000000018115	-2.2310196399479936	0.807827755255397	-1.423191884692597
2.960000000001822	-2.234565302096291	0.8113733939116322	-1.4231919081846587
2.9650000000018326	-2.236887745199377	0.8136957962488635	-1.4231919489505136
2.970000000001843	-2.236818786283271	0.8136268375550955	-1.4231919487281752
2.9750000000018537	-2.2338654669435645	0.8106735263261551	-1.4231919406174092
2.9800000000018643	-2.2283364352276873	0.8051445157860161	-1.4231919194416711
2.985000000001875	-2.2211570643128584	0.7979651760571842	-1.4231918882556744
2.9900000000018854	-2.213559295903845	0.7903674251716309	-1.4231918707322142
2.995000000001896	-2.2067620895389233	0.7835702501063864	-1.4231918394325371
3.0000000000019065	-2.2016981325210656	0.7785062888214334	-1.4231918436996325
3.005000000001917	-2.198819253049127	0.7756274000145167	-1.4231918530346104
3.0100000000019276	-2.1980381525405748	0.7748462978663389	-1.4231918546742361
3.015000000001938	-2.198893891199217	0.7757020188039842	-1.4231918723952328
3.0200000000019487	-2.200918709177963	0.7777268243805928	-1.4231918847973701
3.0250000000019592	-2.204001878432892	0.7808100282024543	-1.423191850230438
3.03000000000197	-2.208560799027177	0.7853689550827937	-1.4231918439443834
3.0350000000019803	-2.215387512413213	0.792195687320994	-1.4231918250922189
3.040000000001991	-2.225284457811114	0.8020926575911256	-1.4231918002199888
3.0450000000020014	-2.238671421060051	0.815479621521122	-1.423191799538929
3.050000000002012	-2.2553013820888097	0.8321095667434952	-1.4231918153453145
3.0550000000020225	-2.2742284296567954	0.8510365943561127	-1.4231918353006827
3.060000000002033	-2.2940108315796084	0.8708189562963491	-1.4231918752832593
3.0650000000020436	-2.3130868448930446	0.8898949036239275	-1.423191941269117
3.070000000002054	-2.3301768864179855	0.9069849437810288	-1.4231919426369566
3.0750000000020647	-2.3445190256948867	0.9213270844413296	-1.423191941253557
3.0800000000020753	-2.3558946672463104	0.9327027096078211	-1.423191957638489
3.085000000002086	-2.3644308252647077	0.9412389091465262	-1.4231919161181816
3.0900000000020964	-2.3702997955889455	0.9471078913339475	-1.423191904254998
3.095000000002107	-2.3734976275149915	0.9503057236085811	-1.4231919039064105
3.1000000000021175	-2.3737704535986266	0.9505785094894833	-1.4231919441091432
3.105000000002128	-2.370654885204571	0.9474629222450848	-1.4231919629594865
3.1100000000021386	-2.363618569084921	0.9404266005795805	-1.4231919685053407
3.115000000002149	-2.3522478856342377	0.9290558894368813	-1.4231919961973563
3.1200000000021597	-2.336486701506297	0.9132947174969257	-1.423191984009371
3.1250000000021703	-2.31688796846814	0.8936960137924542	-1.4231919546756853
3.130000000002181	-2.2947910535207994	0.8715991428677928	-1.4231919106530069
3.1350000000021914	-2.27222391576983	0.8490320447865478	-1.4231918709832825
